Year,Team,YrTm,Season,CY Season Rank,CY Playoff Rank,GP,W,L,OT,P,ROW,P%,Shots/GP,GF/GP,GA/GP,PP%,PK%,Shots/GP,FOW%,TOI,GF,GA,GF60,GA60,GF%,SF,SA,SF60,SA60,SF%,FF,FA,FF60,FA60,FF%,CF,CA,CF60,CA60,CF%,Sh%,Sv%,PDO,OZFO%,DZFO%,NZFO%,GF-GA,GF/W,GF/L,GA/W,GA/L,PY Playoff RNK,2PY Playoff RNK,3PY Playoff RNK,4PYPlayoff RNK
2016,Boston Bruins,2016Boston Bruins,Regular,15,17,82,42,31,9,93,38,0.567,32,2.88,2.78,20.5,82.2,32,50.4,207.4284722,233,226,2.81,2.72,50.8,2617,2490,31.5,30,51.2,3553,3526,42.8,42.5,50.2,4689,4710,56.5,56.8,49.9,8.9,90.92,99.8,33.9,34.2,31.9,7,5.547619048,7.516129032,5.380952381,7.290322581,17,6,2,9
2016,Philadelphia Flyers,2016Philadelphia Flyers,Regular,13,13,82,41,27,14,96,38,0.585,31,2.57,2.56,18.9,80.5,31,51,208.8034722,211,209,2.53,2.5,50.2,2541,2518,30.4,30.1,50.2,3553,3405,42.5,40.8,51.1,4901,4714,58.7,56.4,51,8.3,91.7,100,34.5,33.4,32.1,2,5.146341463,7.814814815,5.097560976,7.740740741,24,10,20,7
2016,Detroit Red Wings,2016Detroit Red Wings,Regular,15,14,82,41,30,11,93,39,0.567,29.7,2.55,2.67,18.8,81.5,29.7,50.5,208.0319444,209,219,2.51,2.63,48.8,2432,2438,29.2,29.3,49.9,3370,3330,40.5,40,50.3,4458,4239,53.6,50.9,51.3,8.59,91.02,99.6,35.8,32.4,31.8,-10,5.097560976,6.966666667,5.341463415,7.3,9,15,5,14
2016,Ottawa Senators,2016Ottawa Senators,Regular,19,19,82,38,35,9,85,32,0.518,28.4,2.8,2.94,15.8,75.8,28.4,50.6,208.3701389,229,241,2.75,2.89,48.7,2321,2682,27.8,32.2,46.4,3247,3666,39,44,47,4469,4859,53.6,58.3,47.9,9.87,91.01,100.9,33,34,33,-12,6.026315789,6.542857143,6.342105263,6.885714286,12,19,8,11
2016,Montréal Canadiens,2016Montréal Canadiens,Regular,21,21,82,38,38,6,82,33,0.5,30.5,2.63,2.84,16.2,81.9,30.5,50.3,207.0694444,216,232,2.61,2.8,48.2,2498,2406,30.2,29,50.9,3424,3302,41.3,39.9,50.9,4704,4445,56.8,53.7,51.4,8.65,90.36,99,32.9,34.7,32.4,-16,5.684210526,5.684210526,6.105263158,6.105263158,6,4,15,28
2016,Buffalo Sabres,2016Buffalo Sabres,Regular,23,23,82,35,36,11,81,33,0.494,29.5,2.43,2.62,18.9,82.6,29.5,49.4,207.9305556,198,214,2.38,2.57,48.1,2417,2511,29.1,30.2,49,3282,3505,39.5,42.1,48.4,4323,4600,52,55.3,48.4,8.19,91.48,99.7,33.2,34.8,32,-16,5.657142857,5.5,6.114285714,5.944444444,30,30,21,18
2016,New Jersey Devils,2016New Jersey Devils,Regular,20,20,82,38,36,8,84,36,0.512,24.4,2.22,2.46,19.9,83,24.4,46.4,207.7944444,182,202,2.19,2.43,47.4,2004,2343,24.1,28.2,46.1,2781,3174,33.5,38.2,46.7,3594,4228,43.2,50.9,45.9,9.08,91.38,100.5,31.3,36.4,32.3,-20,4.789473684,5.055555556,5.315789474,5.611111111,25,19,21,2
2016,Calgary Flames,2016Calgary Flames,Regular,26,26,82,35,40,7,77,33,0.47,29.2,2.79,3.13,17,75.5,29.2,48.6,207.0965278,228,254,2.75,3.07,47.3,2396,2371,28.9,28.6,50.3,3291,3376,39.7,40.8,49.4,4528,4696,54.7,56.7,49.1,9.52,89.29,98.8,33.9,33.6,32.5,-26,6.514285714,5.7,7.257142857,6.35,7,27,25,17
2016,Winnipeg Jets,2016Winnipeg Jets,Regular,24,24,82,35,39,8,78,32,0.476,29.6,2.59,2.88,14.8,78.4,29.6,46.7,207.1097222,211,236,2.55,2.85,47.2,2427,2422,29.3,29.2,50.1,3364,3330,40.6,40.2,50.3,4555,4462,55,53.9,50.5,8.69,90.26,98.9,33.6,33.2,33.2,-25,6.028571429,5.41025641,6.742857143,6.051282051,16,22,18,21
2016,Colorado Avalanche,2016Colorado Avalanche,Regular,21,21,82,39,39,4,82,35,0.5,28.6,2.59,2.93,18,80.2,28.6,49.9,206.5111111,212,239,2.57,2.89,47,2344,2649,28.4,32.1,46.9,3164,3702,38.3,44.8,46.1,4184,5103,50.7,61.8,45.1,9.04,90.98,100,32.8,35.1,32.2,-27,5.435897436,5.435897436,6.128205128,6.128205128,21,9,29,20
